NUTS3;CODE
'DE27E';'87544'
'DEF0D';'23866'
'DEG0R';'99830'
'DE26B';'97509'
'DE91B';'38277'
'DE278';'89347'
'DE27C';'87743'
'DED52';'04643'
'DE22B';'94327'
'DEB3J';'55424'
'DE134';'77656'
'DE139';'79674'
'DEF05';'25719'
'DEA44';'33014'
'DE71E';'63683'
'DE112';'71065'
'DE71B';'64750'
'DE928';'31715'
'DEA28';'53947'
'DE717';'64589'
'DE724';'35288'
'DE71E';'63667'
'DEF07';'25856'
'DE118';'75050'
'DE408';'14669'
'DE229';'94267'
'DE21E';'86940'
'DE21N';'82389'
'DE21N';'82401'
'DE245';'96146'
'DEF08';'23779'
'DE80M';'23936'
'DE925';'31195'
'DE265';'97705'
'DE27A';'88167'
'DEF05';'25788'
'DE927';'31627'
'DE927';'31622'
'DE928';'31699'
'DEF0C';'24852'
'DE933';'21259'
'DEF0E';'25563'
'DE238';'93098'
'DED52';'04539'
'DE916';'38690'
'DE91C';'37445'
'DE722';'35641'
'DE128';'68804'
'DE934';'29456'
'DE917';'38462'
'DE252';'91093'
'DE275';'86674'
'DE219';'91804'
'DE25B';'91166'
'DEG01';'99095'
'DE21E';'86949'
'DEG0T';'99102'
'DEF09';'25355'
'DE929';'30171'
'DE929';'30659'
'DE145';'89160'
'DEA32';'45883'
'DEB12';'53507'
'DEA2A';'51674'
'DEA37';'48477'
'DEB18';'56587'
'DE94C';'26817'
'DEB3G';'67754'
'DEA1A';'42113'
'DEA2B';'51515'
'DEA1A';'42275'
'DEA36';'44581'
'DEB3G';'66914'
'DEA36';'44577'
'DE949';'49838'
'DE949';'26909'
'DEE06';'39279'
'DE148';'88317'
'DE925';'31174'
'DE146';'88450'
'DEF0D';'24643'
'DE266';'97650'
'DEC01';'66119'
'DEA13';'45329'
'DEA23';'51067'
'DEA15';'41068'
'DEB23';'54610'
'DEA12';'47239'
'DEA12';'47259'
'DEA1D';'41466'
'DEC04';'66793'
'DEA31';'46242'
'DE94B';'49828'
